actor_id,actor_name
982,Cassandra Lee Morris
983,Cassandra Peterson
984,Cassandra Scerbo
985,Cassi Davis
986,Cassidy Gifford
987,Catalina Sandino Moreno
988,Cate Blanchett
989,Caterina Murino
990,Catherine Deneuve
991,Catherine Keener
992,Catherine Mary Stewart
993,Catherine McCormack
994,Catherine O'Hara
995,Catherine Oxenberg
996,Catherine Sutherland
997,Catherine Taber
998,Catherine Tate
999,Catherine Zeta-Jones
1000,Cathy Cavadini
1001,Cathy Moriarty
1002,Cathy Weseluck
1003,Cecilia Suárez
1004,Cecilia Yip
1005,Cedric Hardwicke
1006,Cedric Yarbrough
1007,Cedric the Entertainer
1008,Celeste O'Connor
1009,Celia Imrie
1010,Celia Weston
1011,Celina Jade
1012,Cesare Danova
1013,Cha Seung-won
1014,Cha Soon-bae
1015,Chace Crawford
1016,Chad Danforth
1017,Chad Lindberg
1018,Chad Michael Collins
1019,Chad Michael Murray
1020,Chadwick Boseman
1021,Chaiyapol Pupart
1022,Chance Hurstfield
1023,Chandler Canterbury
1024,Chang Chen
1025,Channing Tatum
1026,Chantal Strand
1027,Chapman To
1028,Charlene Choi
1029,Charles Baker
1030,Charles Boyer
1031,Charles Bronson
1032,Charles Cyphers
1033,Charles Dance
1034,Charles Durning
1035,Charles Fleischer
1036,Charles Grodin
1037,Charles Halford
1038,Charles Hallahan
1039,Charles Kimbrough
1040,Charles Laughton
1041,Charles Martin Smith
1042,Charles Napier
1043,Charles Nelson Reilly
1044,Charles S. Dutton
1045,Charley Brewster
1046,Charlie Chaplin
1047,Charlie Chin Chiang-Lin
1048,Charlie Cho
1049,Charlie Cox
1050,Charlie Day
1051,Charlie Heaton
1052,Charlie Hunnam
1053,Charlie McFadden
1054,Charlie Murphy
1055,Charlie Plummer
1056,Charlie Rowe
1057,Charlie Schlatter
1058,Charlie Sheen
1059,Charlie Shotwell
1060,Charlie Swan
1061,Charlie Tahan
1062,Charlie Weber
1063,Charlie Yeung
1064,Charlize Theron
1065,Charlotte Gainsbourg
1066,Charlotte Kirk
1067,Charlotte Le Bon
1068,Charlotte Rampling
1069,Charlotte Stewart
1070,Charlton Heston
1071,Charlyne Yi
1072,Charmaine Bingwa
1073,Chase Ellison
1074,Chazz Palminteri
1075,Cheech Marin
1076,Chelan Simmons
1077,Chelcie Ross
1078,Chelsea Field
1079,Chelsea Greenwood
1080,Chelsea Miller
1081,Chen Kun
1082,Chen Zhen
1083,Cheng Pei-pei
1084,Cheon Ho-jin
1085,Cheri Oteri
1086,Cherie Lunghi
1087,Cherry Jones
1088,Cheryl Hines
1089,Chevy Chase
1090,Chi McBride
1091,Chi-Ling Lin
1092,Chiaki Fujimoto
1093,Chiaki Kuriyama
1094,Chiara Aurelia
1095,Chiara Zanni
1096,Chie Nakamura
1097,Chie Sato
1098,Chief of Police
1099,Chika Sakamoto
1100,Chikao Ohtsuka
1101,China Anne McClain
1102,Chinami Nishimura
1103,Chingmy Yau
1104,Chiwa Saito
1105,Chiwetel Ejiofor
1106,Chloe Coleman
1107,Chloë Grace Moretz
1108,Chloë Sevigny
1109,Cho Jin-woong
1110,Cho Yeo-jeong
